"Company Name","Key ID","Address Line 1","City","Phone","URL","Revenue (As Reported)","Employees","techMark Membership","Year Founded","Ultimate Parent Company","Ultimate Parent Country","ANZSIC 2006 Description","Address Type","Cash Equivalents (As Reported)","Assets (USD)","Cash Equivalents (USD)","Corporate Family Members","Fiscal Year End","Parent Company","Ownership Type","Profit Margin","Revenue (USD)","Sales 1 Year Growth (As Reported)"
"Union Defence Force","123228858","Po Box 128889","Abu Dhabi","24415300","","","90100","","","","","Defence","","","","","0","","","Private","","",""
"Arabtec Holding PJSC","42386653","Al Muhairy Centre","Abu Dhabi","971-2-3336666","http://www.arabtecholding.com","8293031300","42000","","1975","","","Non-Residential Building Construction","","","3905392300","","6","2014-12-31T05:00:00Z","","Public","1.136","2257808300","46460499"
"Al Jaber Transport & General Contracting Llc","123046055","Po Box 2175","Abu Dhabi","25554300","","","40000","","","Al Jaber Group LLC","United Arab Emirates","Non-Residential Building Construction","","","","","34","","Al Jaber Group LLC","Private","","",""
"Arabian Construction Company - W L L","122882369","Po Box 2113","Abu Dhabi","26771225","","","30000","","","","","Road and Bridge Construction","","","","","0","","","Private","","",""
"Abu Dhabi Group","104158751","PO Box 44222","Abu Dhabi","971-26266406","http://www.abudhabiigroup.com","71250203000","25000","","1997","","","Financial Asset Investing","","","","","9","2011-12-31T05:00:00Z","","Private","","71250203000",""
"EMKE Group LLC","42385871","PO Box 4048","Abu Dhabi","971-2-4182000","http://www.emkegroup.com","19830000000","22000","","1966","","","Department Stores","","","","","3","2011-12-31T05:00:00Z","","Private","","19830000000",""
"National Central Cooling Co PSC","44600285","Abu Dhabi Mall, West Tower, 13th Floor,","Abu Dhabi","971-2-6455007","http://www.tabreed.ae","1130612100","16116","","1998","","","Water Supply","","40484000","2269151400","11021827.999","4","2014-12-31T05:00:00Z","","Public","28.8033","307813290","2765300"
"Abu Dhabi Water & Electricity Authority","107923724","","Abu Dhabi","971-26943333","http://www.adwea.ae","","15000","","1998","Abu Dhabi Water & Electricity Authority","","Electricity Supply","","","","","44","","Abu Dhabi Water & Electricity Authority","Private","","",""
"Al Jaber Group LLC","42385943","PO Box 2175","Abu Dhabi","971-2-5554300","http://www.aljaber.com/","28297900000","15000","","1970","","","Other Fabricated Metal Product Manufacturing Not Elsewhere Classified","","","","","34","2012-12-31T05:00:00Z","","Private","","28297900000",""
"Abu Dhabi National Oil Company","42385736","Zayed The 1 Street,","Abu Dhabi","971-2-6020000","http://www.adnoc.ae/","30850000000","14000","","1971","","","Oil and Gas Extraction","","","","","25","2009-12-31T05:00:00Z","","Private","","30850000000",""
"Abu Dhabi National Hotels Company - Compass Middle East - L L C","123156937","Po Box 48606","Abu Dhabi","24447228","","","14000","","","","","Accommodation","","","","","0","","","Private","","",""
"W S Atkins & Partners Overseas","42385786","Po Box 7562","Abu Dhabi","26249100","http://www.atkinsglobal.com","1775500000","13211","","","","","Engineering Design and Engineering Consulting Services","","","","","0","2013-12-31T05:00:00Z","","Private","","483393010",""
"Mubadala Technology Investments LLC","106299382","HQ Building","Abu Dhabi","971-2-4134333","http://www.mubadala.com","3500000000","13000","","2008","The Offset Program Bureau","United Arab Emirates","Other Electronic Equipment Manufacturing","","","","","21","2012-12-31T05:00:00Z","Mubadala Development Company PJSC","Private","","3500000000",""
"The National Petroleum Construction Company","42386020","PO Box 2058","Abu Dhabi","971-25549000","http://www.npcc.ae","562900020","10000","","1973","Abu Dhabi National Oil Company","United Arab Emirates","Other Mining Support Services","","","","","25","2010-12-31T05:00:00Z","Abu Dhabi National Oil Company","Private","","562900020",""
"Al Jaber Energy Services LLC","98725641","Al Jaber Building","Abu Dhabi","971-2-5546550","http://ajes.ae/","3897899900","10000","","1994","Al Jaber Group LLC","United Arab Emirates","Other Mining Support Services","","","","","34","2012-12-31T05:00:00Z","Al Jaber Group LLC","Private","","3897899900",""
"Abu Dhabi National Hotels","42385734","Abu Dhabi National Hotels Building","Abu Dhabi","971-2-4447228","http://www.adnh.com","1340166000","9156","","1975","","","Accommodation","","169808000","2599843500","46230475.469","3","2014-12-31T05:00:00Z","","Public","14.9577","364865140","8351800"
